Employers who were issued a negative Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,,
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions requested
,2452116,"Toronto, ON M1B 2G1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,0932293 BC Ltd o/a Cellicon,"Vaughan, ON L6A 4R3",6211-Retail sales supervisors,2
,1037081 Ontario Inc.,"Oldcastle, ON N0R 1L0",9612-Labourers in metal fabrication,2
,1085511 Ontario Inc.,"Claremont, ON L1Y 1A4",7441-Residential and commercial installers and servicers,1
,1100852 Ontario Limited,"Mississauga, ON L5A 1X1",6322-Cooks,1
,1105729 Ontario Inc,"Toronto, ON M9C 1B3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,1131170 Ontario Inc.,"Brampton, ON L6S 5N1","9536-Industrial painters, coaters and metal finishing process operators",4
,1149809 Ontario Inc.,"St. Catherines, ON L2M 7X3",6341-Hairstylists and barbers,1
,1179786 Ontario Ltd.,"Toronto, ON M2N 5N4",6322-Cooks,2
,1199929 Ontario Ltd.,"Timmins, ON P4R 1A1",6322-Cooks,1
,1214174 ontario inc,"Etobicoke, ON M9W 5S3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,1215371 Ontarion Limited,"Scarborough, ON M1K 1S4",6316-Other services supervisors,1
,1232253 Ontario Inc.,"Sudbury, ON P3E 0A7",1241-Administrative assistants,1
,12345655 Ont Inc.,"North York, ON M3J 2G6",0711-Construction managers,1
,1256975 Ontario Inc.,"North York, ON M9L 2Y7",7241-Electricians (except industrial and power system),2
,,,7251-Plumbers,1
,1261789 Ontario Inc.,"Brampton, ON L6X 1H9",6311-Food service supervisors,1
,1275756 Ontario Inc.,"Mississauga, ON L5C 3Y8",6322-Cooks,1
,1308145 Ont. Ltd,"Markham, ON L3R 1H3",0114-Other administrative services managers,1
,1315435 Ontario Inc.,"Dundas, ON L9H 6Y6",7511-Transport truck drivers,1
,1363179 Ontario Ltd,"Mississauga, ON L5L 5X3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,1365089 Ontario Inc.,"Mississauga, ON L5S 1G2",1241-Administrative assistants,1
,,,7511-Transport truck drivers,2
,1381603 Ontario Ltd.,"Brampton, ON L6T 1G8",7381-Printing press operators,2
,1381764 Ontario Inc.,"Richmond Hill, ON L3T 7T1",6311-Food service supervisors,1
,1397280 Ontario Ltd,"Toronto, ON M5C 2R1",4033-Educational counsellors,2
,1407407 Ontario Ltd o/a Astra Healthcare,"Brampton, ON L6S 0C9",6221-Technical sales specialists - wholesale trade,1
,1413817 Ontario Inc,"Brampton, ON L6R 3A5",6311-Food service supervisors,1
,1415619 Ontario Ltd.,"Newmarket, ON L3X 1P6",6322-Cooks,1
,1420172 Ontario Ltd.,"Vaughan, ON L4H 1B9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,1429481 Ontario Inc.,"Markham, ON L3R 1C7",2172-Database analysts and data administrators,1
,1454410 Ontario Inc,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,1
,1470041 Ontario Inc.,"Ottawa, ON K2K 3C1",6322-Cooks,1
,1485204 Ontario Inc.,"Port Perry, ON L9L 1P9",6322-Cooks,2
,1509310 Ontario Ltd.. O/A Pak National Food Distributor,"Maple, ON L6A 3E4","1212-Supervisors, finance and insurance office workers",1
,1515906 Ontario Limited,"Toronto, ON M6J 1X5",7271-Carpenters,1
,1519950 Ontario Ltd.,"Brampton, ON L6W 1X4",2241-Electrical and electronics engineering technologists and technicians,2
,,,7535-Other automotive mechanical installers and servicers,2
,1519980 Ontario Limited,"Toronto, ON M4S 1Z9",6321-Chefs,1
,1520198 Ontario Inc.,"Mississauga, ON L5T 1M9",1221-Administrative officers,1
,1527530 Ontario Inc,"Brampton, ON L6R 1T9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,1540224 Ontario Ltd.,"Toronto, ON M6G 1B5",6311-Food service supervisors,2
,1540606 Ontario Inc.,"North York, ON M2N 5A1",4216-Other instructors,1
,1542300 Ontario Inc.,"Oakville, ON L6J 7T4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
,1543618 Ontario Inc.,"Toronto, ON M5T 1G7",6311-Food service supervisors,1
,1552045 Ontario Inc,"Toronto, ON M6G 1K5",6332-Bakers,1
,1554604 Ontario Ltd.,"Toronto, ON M8V 4B4",6211-Retail sales supervisors,1
,1555267 Ontario Inc,"Mississauga, ON L5S 1T8",6332-Bakers,1
,1559252 Ontario Limited,"Toronto, ON M2J 3R2","7204-Contractors and supervisors, carpentry trades",1
,1559377 Ontario Inc.,"Locust Hill, ON L0H 1J0",7271-Carpenters,2
,1561180 Ontario Inc.,"Mississauga, ON L5W 0E6",6322-Cooks,2
,1572605 Ontario ltd,"Toronto, ON M4G 3B7",0631-Restaurant and food service managers,1
,1576649 Ontario Inc,"Scarborough, ON M1J 2H6","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,1578085 Ontario Inc.,"Ottawa, ON K1R 7R4",6322-Cooks,1
,1578342 Ontario Inc,"Mississauga, ON L4W 1S4",7381-Printing press operators,1
,1580983 Ontario Inc. O/A R.S Supermt,"Brampton, ON L6T 2H2",0621-Retail and wholesale trade managers,1
,1593095 Ontario Ltd.,"North Bay, ON P1A 2H3",7441-Residential and commercial installers and servicers,1
,1596302 Ontario Inc.,"Newmarket, ON L3X 3H5",7231-Machinists and machining and tooling inspectors,1
,1610803 Ontario Inc.,"Toronto, ON M6S 2E2",6341-Hairstylists and barbers,1
,1617961 Ontario Inc.,"Toronto, ON M8Z 2G9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,1621101 Ontario Inc,"Toronto, ON M6P 1Z4",6332-Bakers,1
,1622248 Ontario Inc,"Kingston, ON K7L 1M2",0631-Restaurant and food service managers,1
,1628760 Ontario Inc,"Hillier, ON K0K 2J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,1633108 Ontario Inc.,"Mississauga, ON L5J 1K7","1212-Supervisors, finance and insurance office workers",1
,1642570 Ontario Ltd. O/A Popeyes Chicken & Biscuits,"Toronto, ON M9N 1W8",1225-Purchasing agents and officers,1
,1642571 Ontario Ltd.,"Toronto, ON M9N 1W8",6311-Food service supervisors,1
,1651350 Ontario Inc,"Stoney Creek, ON L8G 1G2",1311-Accounting technicians and bookkeepers,2
,1661606 Ontario Ltd,"Scarborough, ON M1S 3R3",5242-Interior designers and interior decorators,1
,1664105 Ontario Inc.,"Toronto, ON M6A 1Z6",7511-Transport truck drivers,1
,1671413 Ontario Inc.,"Mississauga, ON L4W 4L9",6332-Bakers,2
,1685292 Ontario Ltd.,"Mississauga, ON L4W 4E1","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,1702119 Ontario Inc.,"Kingston, ON K7L 1H2",0631-Restaurant and food service managers,1
,1705371 Ontario Ltd.,"Toronto, ON M9N 2M4",7281-Bricklayers,1
,1706216 Ontario Inc.,"Woodbridge, ON L4L 1A6",7281-Bricklayers,3
,1707975 Ontario Inc.,"North York, ON M3B 2W6",6321-Chefs,2
,1727645 Ontario Ltd o/a Mercatto,"Toronto, ON M5G 1L7",6322-Cooks,1
,1759378 Ontario Inc.,"Pickering, ON L1V 1V9",6322-Cooks,1
,1760364 Ontario Inc.,"Brampton, ON N3S 3P6",6322-Cooks,1
,1775280 Ontario Inc.,"Hamilton, ON L9A 1V3",5241-Graphic designers and illustrators,1
,1779268 Ontario Inc.,"North York, ON M3J 1L5",6211-Retail sales supervisors,1
,1785634 Ontario Inc,"Vaughan, ON L4J 0B8",7511-Transport truck drivers,1
,1786454 Ontario Inc.,"Toronto, ON M1L 2M9",6322-Cooks,1
,1788473 Ontario Ltd.,"Mississauga, ON L4T 2G8",5244-Artisans and craftspersons,2
,1799123 Ontario Ltd.,"Brampton, ON L6Y 0P6",3219-Other medical technologists and technicians (except dental health),1
,1800044 Ontario Limited,"Toronto, ON M8Y 1L2","6562-Estheticians, electrologists and related occupations",1
,1808278,"Leamington, ON N8H 3W2",8432-Nursery and greenhouse workers,7
,1816170 Ontario Inc.,"Port Perry, ON L9L 1V4",6322-Cooks,1
,1820585 Ontario Inc,"Burlington, ON L7N 2R4",6322-Cooks,1
,1837395 Ontario Ltd,"Toronto, ON M1B 3V1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,1846981 Ontario Inc.,"Toronto, ON M1C 4Y4",0631-Restaurant and food service managers,1
,1847601 Ontario Corporation,"Toronto, ON M4P 2C9",7271-Carpenters,1
,1850520 Ontario Inc.,"Ottawa, ON K2L 4B2",6322-Cooks,1
,1853806 Ontario Inc.,"Peterborough, ON K9J 3Z5",7281-Bricklayers,1
,1863462 Ontario Inc.,"St. Cathariens, ON L2R 3J2",6321-Chefs,1
,1865817 Ontario Inc.,"Toronto, ON M4K 1P7",5221-Photographers,1
,1877590 Ontario Inc,"Toronto, ON M5V 1L7",6321-Chefs,1
,1878287 Ontario Incorporated,"Toronto, ON M5B 1Y7",6322-Cooks,1
,1911158,"Woodbridge, ON L4L 9P1",7271-Carpenters,2
,1929382 Ontario Inc.,"Mississauga, ON L4Y 2Y5",6322-Cooks,1
,1931492 Ontario Inc.,"Toronto, ON M4P 2H5",0631-Restaurant and food service managers,1
,1932571 Ontario Inc.,"Mississauga, ON L5S 1T7",6322-Cooks,1
,19922168 Ontario Inc.,"Oshawa, ON L1J 4E4",7271-Carpenters,2
,2013687 Ontario Ltd.,"Toronto, ON M3A 3R3","7284-Plasterers, drywall installers and finishers and lathers",1
,2016413 ONTARIO INC (ONE STOP TICKET SHOP),"Markham, ON L3P 7T8",0621-Retail and wholesale trade managers,1
,2017574 Ontario Inc.,"Ottawa, ON K1G 2A1",6322-Cooks,2
,2045891 Ontario Inc.,"Mississauga, ON L5S 1W7","1212-Supervisors, finance and insurance office workers",1
,2049067 Ontario Ltd.,"Toronto, ON M2M 5S2",6322-Cooks,1
,2052478 Ontario Ltd.,"Toronto, ON M4P 3A1",1221-Administrative officers,1
,2055686 Ontario Inc.,"Toronto, ON M4R 1K8",7521-Heavy equipment operators (except crane),1
,2055748 Ontario Inc.,"Toronto, ON M5R 1B8",6321-Chefs,1
,2059430 Ontario Inc.,"Mississauga, ON L5A 4B3",6322-Cooks,2
,2063337 Ontario Inc.,"Thornhill, ON L3T 7M8",6222-Retail and wholesale buyers,1
,2065283 Ontario Inc.,"Toronto, ON M5P 2H8","5254-Program leaders and instructors in recreation, sport and fitness",1
,2070311 Ontario Inc.,"Forest, ON N0N 1J0",6211-Retail sales supervisors,2
,2070567 Ontario Ltd.,"Brampton, ON L6S 0A2",6222-Retail and wholesale buyers,1
,2072369 Ontario Inc.,"Toronto, ON M4R 1K8",6321-Chefs,1
,2076938 Ontario Inc.,"Toronto, ON M5R 1P5",3232-Practitioners of natural healing,1
,2077486 Ontario Corp o/a Mango Studios,"Toronto, ON M4M 2A6",5241-Graphic designers and illustrators,1
,2078471 Ontario Inc.,"Brampton, ON L6P 0N8",7282-Concrete finishers,1
,2079103 Ontario Inc (Eggscellent Inc),"Toronto, ON M5E 1N3","1123-Professional occupations in advertising, marketing and public relations",1
,2079381 Ontario Inc,"Mississauga, ON L5S 1J9","0124-Advertising, marketing and public relations managers",1
,2084828 Ontario Inc.,"Brampton, ON L6T 5A6",0631-Restaurant and food service managers,1
,2086590 Ontario Inc.,"Oakville, ON L6H 7P4",0621-Retail and wholesale trade managers,1
,2092125 Ontario Ltd.,"Mississauga, ON L5B 1N5",6211-Retail sales supervisors,1
,2093871 Ontario Inc.,"Niagara Falls, ON L2E 3E4",0632-Accommodation service managers,1
,2094512 Ontario Inc.,"Mississauga, ON L5N 3E7",6311-Food service supervisors,1
,2097181 Ontario Ltd.,"Caledon, ON L7C 3T4","1211-Supervisors, general office and administrative support workers",1
,,,"1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,,1526-Transportation route and crew schedulers,1
,2105727 Ontario Inc.,"Oakville, ON L6H 6K7",6311-Food service supervisors,1
,2107484 Ontario Inc.,"Burlington, ON L7M 4B8",0631-Restaurant and food service managers,1
,2107622 Ontario Inc.,"Milton, ON L9T 5J3",0731-Managers in transportation,1
,,,"1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,,7511-Transport truck drivers,3
,2116579 Ontario Inc,"Etobicoke, ON M9W 1E8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,2123628 Ontario Inc.,"Scarborough, ON M1X 1E2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,2126724 Ontario Ltd.,"North York, ON M3H 1S9",0112-Human resources managers,1
,2131876 Ontario Ltd,"Aylmer, ON N5H 2R5",8431-General farm workers,95
,2134907 Ontario Inc.,"Brampton, ON L6Y 5A3",0621-Retail and wholesale trade managers,1
,2152458 Ontario Limited o/a Howard Johnson Toronto East,"Toronto, ON M1R 2T6","4412-Home support workers, housekeepers and related occupations",1
,2155526 Ontario Inc,"Brampton, ON L6X 4T7","1211-Supervisors, general office and administrative support workers",1
,,,"1213-Supervisors, library, correspondence and related information workers",1
,2156293 Ontario Ltd,"Vaughan, ON L4H 0J2",7281-Bricklayers,1
,2164709 Ontario Inc,"Mississauga, ON L4T 0A4",2172-Database analysts and data administrators,1
,2168984 Ont LTD,"Toronto, ON M3N 1Y7",6332-Bakers,1
,2173426 Ontario Inc.,"Markham, ON L6C 1K8",6211-Retail sales supervisors,1
,2174302 Ont Inc.,"Windsor, ON N9K 1C7",6322-Cooks,1
,2175945 Ontario Inc.,"Mississauga, ON L5T 1G1",6211-Retail sales supervisors,1
,2179937 Ontario Inc.,"Richmond Hill, ON L4C 4L5","5254-Program leaders and instructors in recreation, sport and fitness",2
,2183473 Ontario Limited,"Mississauga, ON L4W 1V5",6322-Cooks,1
,2194828 Ontario Inc,"Brampton, ON L6X 0P1",6321-Chefs,1
,220 King Street West GP Inc o/a Los Colibris/El Caballito,"Toronto, ON M5H 1K4",6322-Cooks,1
,2211875 Ontario Ltd.,"Mississauga, ON L5B 1H2",6311-Food service supervisors,1
,,,6322-Cooks,2
,2212579 Ontario Ltd.,"Toronto, ON M5T 1S5",0632-Accommodation service managers,1
,2215478 Ontario Inc.,"Concord, ON L4K 2K1",7272-Cabinetmakers,2
,2215957 Ontario Limited,"Aurora, ON L4G 0V1",7241-Electricians (except industrial and power system),2
,2219952 Ontario Inc.,"London, ON N6A 3G3",6322-Cooks,2
,2221014 Ontario Inc.,"Waterton, ON L0R 2H6",6332-Bakers,1
,2221255 Ontario Inc.,"Newmarket, ON L3Y 8X4",0621-Retail and wholesale trade managers,1
,2223429 Ontario Ltd,"Guelph, ON N1L 0H3",0631-Restaurant and food service managers,1
,2226004 Ontario Ltd.,"Markham, ON L3S 0B6","4164-Social policy researchers, consultants and program officers",1
,2242704 Ontario Inc,"Kitchener, ON N2P 2G5",6211-Retail sales supervisors,1
,2243027 Ontario Inc.,"Toronto, ON M5J 2V7",6322-Cooks,1
,2247746 Ontario Inc,"Richmond Hill, ON L4C 9R6",6322-Cooks,3
,2253477 Ontario Inc.,"Mississauga, ON L5T 2V8",6322-Cooks,1
,2258730 Ontario Inc,"Mississauga, ON L4Z 2Z1",6322-Cooks,3
,2259149 Ontario Inc,"Woodbridge, ON L4H 3K9",6211-Retail sales supervisors,1
,2266059 Ontario Inc.,"Etobicoke, ON M9C 5M1",1431-Accounting and related clerks,1
,2272579 Ontario Inc.,"Bolton, ON L7E 5V7",2175-Web designers and developers,1
,2272719 Ontario Inc.,"Cambridge, ON N1R 8H2",6322-Cooks,1
,2273415 Ontario Corp.,"Toronto, ON M2M 3S9",6341-Hairstylists and barbers,1
,2279217 Ontario Ltd.,"Toronto, ON M5G 1H1",6321-Chefs,2
,2280695 Ontario Inc.,"Milton, ON L9T 7W1",6311-Food service supervisors,1
,2287033 Ontario Inc.,"Toronto, ON M1H 2A5",0111-Financial managers,1
,,,0112-Human resources managers,1
,2289181 Ontario Inc.,"Toronto, ON M2N 5N5",6322-Cooks,1
,2294734 Ontario Inc,"Toronto, ON M4V 1L5",5122-Editors,1
,2295171 Ontario Corp.,"Scarborough, ON M1H 2Y2","0651-Managers in customer and personal services, n.e.c.",1
,2297356 Ontario Inc,"Toronto, ON M8Z 5C3",0631-Restaurant and food service managers,1
,2297912 Ontarion Inc.,"Toronto, ON M5V 1M5",6321-Chefs,1
,2306789 Ontario Inc.,"Toronto, ON M5J 2N5",0631-Restaurant and food service managers,1
,2313550 Ontario Inc.,"Brampton, ON L6P 2L1",0621-Retail and wholesale trade managers,1
,2314892 ON INC,"Ottawa, ON K1R 6Y4",5134-Dancers,1
,2316689 Ontario Inc,"Mississauga, ON L5T 1A3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
,2317498 Ontario Inc,"Markham, ON L3R 4M9",6322-Cooks,1
,2319299 Ontario Limited,"Toronto, ON M5P 1K8",6321-Chefs,1
,2322948 Ontario Inc.,"Brampton, ON L6W 1K5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,2324520 Ontario Inc. o/a First Insurance Funding of Canada,"Toronto, ON M5C 2B8",0601-Corporate sales managers,1
,2327712 Ontario Inc,"Scarborough, ON M1B 5P8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,2328150 Ontario Inc.,"Toronto, ON M2N 5S2",6321-Chefs,1
,"2328998 Ontario, Inc.","BARRIE, ON L4N 8V4",6311-Food service supervisors,2
,2329160 Ontario Ltd,"Oakville, ON L6M 2P4","6562-Estheticians, electrologists and related occupations",1
,2329241 Ontario Inc,"Brampton, ON L5P 3H3",2171-Information systems analysts and consultants,1
,2338435 Ontario Inc (A&J Auto Repairs),"Bolton, ON L7E 5A9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,2338822,"Toronto, ON M6K 1X4",0631-Restaurant and food service managers,1
,2340135 Ontario Ltd.,"Toronto, ON M9N 1W8",1311-Accounting technicians and bookkeepers,1
,,,2281-Computer network technicians,1
,2343577 Ontario Inc,"North York, ON M3J 1Y6",6321-Chefs,1
,2344786 Ontario inc,"Kitchener, ON N2E 2H7",6211-Retail sales supervisors,1
,2351388 Ontario Inc.,"Vaughan, ON L4J 1A1",0621-Retail and wholesale trade managers,1
,2354181 Ontario Inc,"Toronto, ON M4N 2L9",6322-Cooks,2
,2359665 Ontario Inc.,"North York, ON M2N 6V1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,2362520 Ontario Inc,"Brampton, ON L6S 3E3",0621-Retail and wholesale trade managers,2
,2362565 Ontario Inc.,"Mississauga, ON L4Y 2B8",6322-Cooks,1
,236535 Ontario Ltd.,"Toronto, ON M1H 3G5",6322-Cooks,1
,2375191 Ontario Inc.,"Toronto, ON M1H 3G5",0621-Retail and wholesale trade managers,1
,2378454 Ontario Inc.,"Woodbridge, ON L4L 9A8",6311-Food service supervisors,1
,2379539 Ontario Inc.,"Scarborough, ON M1S 4A7",1112-Financial and investment analysts,1
,2379731 Ontario Limited,"Pickering, ON L1V 7G1",0621-Retail and wholesale trade managers,2
,2385747 Ontario Ltd.,"Brampton, ON L6Y 2R2",3237-Other technical occupations in therapy and assessment,1
,2388691 Ontario Inc.,"Mississauga, ON L5T 2N8",7272-Cabinetmakers,1
,2389165 Ontario Inc.,"Ancaster, ON L9K 0A6","7284-Plasterers, drywall installers and finishers and lathers",2
,2389979 Ontario Inc.,"Toronto, ON M5S 1X7",6322-Cooks,2
,2390135 Ontario Inc.,"Tecumseh, ON N8N 1Y3",6321-Chefs,1
,2391402 Ontario Inc.,"Brampton, ON L6P 2P9",6211-Retail sales supervisors,1
,2391548 Ontario Inc.,"Toronto, ON M1H 3G5",6321-Chefs,1
